  4.66	54205	54205	U	0	unclassified
 95.34	1108365	126	R	1	root
 95.31	1108087	45	R1	131567	  cellular organisms
 94.95	1103894	349	D	2	    Bacteria
 94.89	1103112	41	D1	1783272	      Terrabacteria group
 94.61	1099866	40	P	201174	        Actinobacteria
 94.60	1099739	1303	C	1760	          Actinobacteria
 94.29	1096211	916	O	85007	            Corynebacteriales
 94.20	1095170	17670	F	1762	              Mycobacteriaceae
 92.09	1070646	10221	G	670516	                Mycobacteroides
 91.18	1059990	1052667	S	36809	                  Mycobacteroides abscessus
  0.44	5076	415	S1	319705	                    Mycobacteroides abscessus subsp. bolletii
  0.31	3580	3580	S2	1091046	                      Mycobacteroides abscessus subsp. bolletii BD
  0.09	1031	1031	S2	1303024	                      Mycobacteroides abscessus subsp. bolletii 50594
  0.00	50	50	S2	1299325	                      Mycobacteroides abscessus subsp. bolletii 103
  0.11	1232	557	S1	1962118	                    Mycobacteroides abscessus subsp. massiliense
  0.03	364	364	S2	1001714	                      Mycobacteroides abscessus subsp. massiliense CCUG 48898 = JCM 15300
  0.03	311	311	S2	1198627	                      Mycobacteroides abscessus subsp. massiliense str. GO 06
  0.06	738	738	S1	1132508	                    Mycobacteroides abscessus UC22
  0.02	277	277	S1	1185650	                    Mycobacteroides abscessus subsp. abscessus
  0.02	231	229	S	1774	                  Mycobacteroides chelonae
  0.00	2	2	S1	1460372	                    Mycobacteroides chelonae CCUG 47445
  0.01	108	108	S	83262	                  Mycobacteroides immunogenum
  0.01	70	70	S	1578165	                  Mycobacteroides saopaulense
  0.00	26	26	S	1520670	                  [Mycobacterium] stephanolepidis
  0.59	6814	2260	G	1763	                Mycobacterium
  0.21	2455	831	G1	120793	                  Mycobacterium avium complex (MAC)
  0.06	732	656	S	1764	                    Mycobacterium avium
  0.01	60	60	S1	439334	                      Mycobacterium avium subsp. hominissuis
  0.00	8	7	S1	1770	                      Mycobacterium avium subsp. paratuberculosis
  0.00	1	1	S2	262316	                        Mycobacterium avium subsp. paratuberculosis K-10
  0.00	8	8	S1	243243	                      Mycobacterium avium 104
  0.04	507	507	S	222805	                    Mycobacterium chimaera
  0.02	243	47	S	1767	                    Mycobacterium intracellulare
  0.01	123	103	S1	1203599	                      Mycobacterium intracellulare subsp. yongonense
  0.00	20	20	S2	1138871	                        Mycobacterium intracellulare subsp. yongonense 05-1390
  0.00	52	0	S1	35617	                      Mycobacterium intracellulare subsp. intracellulare
  0.00	52	52	S2	1232724	                        Mycobacterium intracellulare subsp. intracellulare MTCC 9506
  0.00	11	11	S1	487521	                      Mycobacterium intracellulare ATCC 13950
  0.00	9	9	S1	1138382	                      Mycobacterium intracellulare MOTT-02
  0.00	1	1	S1	1299331	                      Mycobacterium intracellulare 1956
  0.01	73	73	S	1138383	                    Mycobacterium paraintracellulare
  0.00	55	55	S	701042	                    Mycobacterium marseillense
  0.00	14	0	S	339268	                    Mycobacterium colombiense
  0.00	14	14	S1	1041522	                      Mycobacterium colombiense CECT 3035
  0.10	1122	1122	S	482462	                  Mycobacterium dioxanotrophicus
  0.04	425	256	S	1781	                  Mycobacterium marinum
  0.01	168	168	S1	216594	                    Mycobacterium marinum M
  0.00	1	1	S1	1131442	                    Mycobacterium marinum E11
  0.02	235	235	S	1879023	                  Mycobacterium sp. djl-10
  0.01	154	81	G1	77643	                  Mycobacterium tuberculosis complex
  0.01	64	56	S	1773	                    Mycobacterium tuberculosis
  0.00	2	2	S1	1346770	                      Mycobacterium tuberculosis PanR0407
  0.00	1	1	S1	1334081	                      Mycobacterium tuberculosis 1821ADB41
  0.00	1	0	S1	1306414	                      Mycobacterium tuberculosis EAI5
  0.00	1	1	S2	1310115	                        Mycobacterium tuberculosis EAI5/NITR206
  0.00	1	1	S1	1334079	                      Mycobacterium tuberculosis 1821ADB38
  0.00	1	1	S1	1344043	                      Mycobacterium tuberculosis PanR0203
  0.00	1	1	S1	1306400	                      Mycobacterium tuberculosis str. Beijing/NITR203
  0.00	1	1	S1	1334056	                      Mycobacterium tuberculosis TRS10
  0.00	9	3	S	78331	                    Mycobacterium canettii
  0.00	5	5	S1	1205677	                      Mycobacterium canettii CIPT 140070017
  0.00	1	1	S1	1205674	                      Mycobacterium canettii CIPT 140070010
  0.01	65	65	S	1936029	                  Mycobacterium sp. MS1601
  0.00	52	52	S	1168287	                  Mycobacterium sp. MOTT36Y
  0.00	25	25	S	2051552	                  Mycobacterium sp. PYR15
  0.00	7	0	G1	2249310	                  Mycobacterium simiae complex
  0.00	5	5	S	1784	                    Mycobacterium simiae
  0.00	2	2	S	722731	                    Mycobacterium shigaense
  0.00	5	5	S	1768	                  Mycobacterium kansasii
  0.00	3	0	S	29311	                  Mycobacterium haemophilum
  0.00	3	3	S1	1202450	                    Mycobacterium haemophilum DSM 44634
  0.00	2	2	S	212767	                  Mycobacterium sp. JS623
  0.00	2	2	S	1273687	                  Mycobacterium sp. VKM Ac-1817D
  0.00	1	1	S	1561223	                  Mycobacterium sp. QIA-37
  0.00	1	1	S	1769	                  Mycobacterium leprae
  0.00	38	0	G	1866885	                Mycolicibacterium
  0.00	14	2	S	1772	                  Mycolicibacterium smegmatis
  0.00	12	12	S1	1214915	                    Mycolicibacterium smegmatis MKD8
  0.00	6	0	S	1800	                  Mycolicibacterium chubuense
  0.00	6	6	S1	710421	                    Mycolicibacterium chubuense NBB4
  0.00	4	3	S	1804	                  Mycolicibacterium gilvum
  0.00	1	1	S1	350054	                    Mycolicibacterium gilvum PYR-GCK
  0.00	3	3	S	1797	                  Mycolicibacterium thermoresistibile
  0.00	3	0	S	36814	                  Mycolicibacterium rhodesiae
  0.00	3	3	S1	710685	                    Mycolicibacterium rhodesiae NBB3
  0.00	2	2	S	1791	                  Mycolicibacterium aurum
  0.00	2	0	S	110539	                  Mycolicibacterium vanbaalenii
  0.00	2	2	S1	350058	                    Mycolicibacterium vanbaalenii PYR-1
  0.00	2	2	S	758802	                  Mycolicibacterium litorale
  0.00	1	1	S	1766	                  Mycolicibacterium fortuitum
  0.00	1	1	S	1771	                  Mycolicibacterium phlei
  0.00	1	0	G	697025	                Hoyosella
  0.00	1	0	S	639313	                  Hoyosella subflava
  0.00	1	1	S1	443218	                    Hoyosella subflava DQS3-9A1
  0.00	1	0	G	1073531	                Mycolicibacter
  0.00	1	1	S	875328	                  Mycolicibacter sinensis
  0.00	55	0	F	85029	              Dietziaceae
  0.00	55	1	G	37914	                Dietzia
  0.00	54	54	S	499555	                  Dietzia timorensis
  0.00	25	0	F	85026	              Gordoniaceae
  0.00	25	0	G	2053	                Gordonia
  0.00	20	0	S	2054	                  Gordonia bronchialis
  0.00	20	20	S1	526226	                    Gordonia bronchialis DSM 43247
  0.00	1	1	S	36822	                  Gordonia rubripertincta
  0.00	1	0	S	84595	                  Gordonia polyisoprenivorans
  0.00	1	1	S1	1112204	                    Gordonia polyisoprenivorans VH2
  0.00	1	1	S	337191	                  Gordonia sp. KTR9
  0.00	1	1	S	1004901	                  Gordonia iterans
  0.00	1	1	S	1136941	                  Gordonia phthalatica
  0.00	22	0	F	1653	              Corynebacteriaceae
  0.00	22	2	G	1716	                Corynebacterium
  0.00	2	0	S	108486	                  Corynebacterium falsenii
  0.00	2	2	S1	1451189	                    Corynebacterium falsenii DSM 44353
  0.00	2	0	S	203263	                  Corynebacterium aquilae
  0.00	2	2	S1	1431546	                    Corynebacterium aquilae DSM 44791
  0.00	2	0	S	38305	                  Corynebacterium vitaeruminis
  0.00	2	2	S1	1224164	                    Corynebacterium vitaeruminis DSM 20294
  0.00	2	2	S	38301	                  Corynebacterium minutissimum
  0.00	1	1	S	156978	                  Corynebacterium imitans
  0.00	1	0	S	89154	                  Corynebacterium terpenotabidum
  0.00	1	1	S1	1200352	                    Corynebacterium terpenotabidum Y-11
  0.00	1	0	S	575200	                  Corynebacterium maris
  0.00	1	1	S1	1224163	                    Corynebacterium maris DSM 45190
  0.00	1	1	S	1050174	                  Corynebacterium epidermidicanis
  0.00	1	1	S	146827	                  Corynebacterium simulans
