  0.78	4330	4330	U	0	unclassified
 99.22	552714	5	R	1	root
 99.21	552660	10	R1	131567	  cellular organisms
 99.19	552544	25	D	2	    Bacteria
 99.18	552480	6	D1	1783272	      Terrabacteria group
 99.18	552452	2	P	201174	        Actinobacteria
 99.18	552450	82	C	1760	          Actinobacteria
 99.15	552316	66	O	85007	            Corynebacteriales
 99.14	552246	1527	F	1762	              Mycobacteriaceae
 98.84	550589	343595	G	1763	                Mycobacterium
 20.15	112223	4438	G1	120793	                  Mycobacterium avium complex (MAC)
 18.63	103762	47366	S	1764	                    Mycobacterium avium
  9.76	54347	53772	S1	439334	                      Mycobacterium avium subsp. hominissuis
  0.10	575	575	S2	1229671	                        Mycobacterium avium subsp. hominissuis TH135
  0.34	1895	1882	S1	1770	                      Mycobacterium avium subsp. paratuberculosis
  0.00	7	7	S2	262316	                        Mycobacterium avium subsp. paratuberculosis K-10
  0.00	6	6	S2	1199187	                        Mycobacterium avium subsp. paratuberculosis MAP4
  0.02	117	93	S1	44454	                      Mycobacterium avium subsp. avium
  0.00	16	16	S2	1299329	                        Mycobacterium avium subsp. avium 2285 (S)
  0.00	8	8	S2	1299330	                        Mycobacterium avium subsp. avium 2285 (R)
  0.01	37	37	S1	243243	                      Mycobacterium avium 104
  0.59	3277	3277	S	222805	                    Mycobacterium chimaera
  0.08	432	129	S	1767	                    Mycobacterium intracellulare
  0.05	270	49	S1	1203599	                      Mycobacterium intracellulare subsp. yongonense
  0.04	221	221	S2	1138871	                        Mycobacterium intracellulare subsp. yongonense 05-1390
  0.00	19	0	S1	35617	                      Mycobacterium intracellulare subsp. intracellulare
  0.00	19	19	S2	1232724	                        Mycobacterium intracellulare subsp. intracellulare MTCC 9506
  0.00	9	9	S1	487521	                      Mycobacterium intracellulare ATCC 13950
  0.00	3	3	S1	1299331	                      Mycobacterium intracellulare 1956
  0.00	2	2	S1	1138382	                      Mycobacterium intracellulare MOTT-02
  0.03	177	0	S	339268	                    Mycobacterium colombiense
  0.03	177	177	S1	1041522	                      Mycobacterium colombiense CECT 3035
  0.02	127	127	S	701042	                    Mycobacterium marseillense
  0.00	10	10	S	1138383	                    Mycobacterium paraintracellulare
 16.75	93315	44859	G1	77643	                  Mycobacterium tuberculosis complex
  7.77	43287	39644	S	1773	                    Mycobacterium tuberculosis
  0.05	302	302	S1	1352573	                      Mycobacterium tuberculosis PanR0601
  0.05	274	155	S1	1765	                      Mycobacterium tuberculosis variant bovis
  0.02	119	8	S2	33892	                        Mycobacterium tuberculosis variant bovis BCG
