 65.81	1391901	1391901	U	0	unclassified
 34.19	723252	87	R	1	root
 34.18	722914	331	R1	131567	  cellular organisms
 34.12	721648	10490	D	2	    Bacteria
 32.72	691977	1400	D1	1783272	      Terrabacteria group
 28.62	605311	560	P	201174	        Actinobacteria
 28.56	604035	37489	C	1760	          Actinobacteria
 24.39	515961	22737	O	85007	            Corynebacteriales
 21.80	461159	73033	F	1762	              Mycobacteriaceae
 13.72	290232	91977	G	1763	                Mycobacterium
  4.18	88367	11674	G1	120793	                  Mycobacterium avium complex (MAC)
  2.04	43223	25640	S	1764	                    Mycobacterium avium
  0.55	11634	11634	S1	44454	                      Mycobacterium avium subsp. avium
  0.22	4749	4500	S1	439334	                      Mycobacterium avium subsp. hominissuis
  0.01	249	249	S2	1229671	                        Mycobacterium avium subsp. hominissuis TH135
  0.05	1132	1132	S1	1770	                      Mycobacterium avium subsp. paratuberculosis
  0.00	68	68	S1	243243	                      Mycobacterium avium 104
  0.66	13994	0	S	339268	                    Mycobacterium colombiense
  0.66	13994	13994	S1	1041522	                      Mycobacterium colombiense CECT 3035
  0.36	7615	7615	S	701042	                    Mycobacterium marseillense
  0.33	7032	7032	S	222805	                    Mycobacterium chimaera
  0.21	4469	1672	S	1767	                    Mycobacterium intracellulare
  0.07	1558	293	S1	1203599	                      Mycobacterium intracellulare subsp. yongonense
  0.06	1265	1265	S2	1138871	                        Mycobacterium intracellulare subsp. yongonense 05-1390
  0.04	821	0	S1	35617	                      Mycobacterium intracellulare subsp. intracellulare
  0.04	821	821	S2	1232724	                        Mycobacterium intracellulare subsp. intracellulare MTCC 9506
  0.01	306	306	S1	1299331	                      Mycobacterium intracellulare 1956
  0.00	67	67	S1	1138382	                      Mycobacterium intracellulare MOTT-02
  0.00	45	45	S1	487521	                      Mycobacterium intracellulare ATCC 13950
  0.02	360	360	S	1138383	                    Mycobacterium paraintracellulare
  1.30	27409	692	G1	2249310	                  Mycobacterium simiae complex
  0.66	14041	14041	S	722731	                    Mycobacterium shigaense
  0.60	12676	12676	S	1784	                    Mycobacterium simiae
  0.97	20453	20453	S	1768	                  Mycobacterium kansasii
  0.60	12678	1365	G1	77643	                  Mycobacterium tuberculosis complex
  0.51	10808	3790	S	78331	                    Mycobacterium canettii
  0.19	4012	4012	S1	1205674	                      Mycobacterium canettii CIPT 140070010
  0.13	2658	2658	S1	1205677	                      Mycobacterium canettii CIPT 140070017
  0.01	215	215	S1	1205675	                      Mycobacterium canettii CIPT 140070008
  0.00	96	96	S1	1048245	                      Mycobacterium canettii CIPT 140010059
  0.00	37	37	S1	1205676	                      Mycobacterium canettii CIPT 140060008
  0.02	505	407	S	1773	                    Mycobacterium tuberculosis
  0.00	74	34	S1	1765	                      Mycobacterium tuberculosis variant bovis
  0.00	40	0	S2	33892	                        Mycobacterium tuberculosis variant bovis BCG
  0.00	40	40	S3	998092	                          Mycobacterium tuberculosis variant bovis BCG str. ATCC 35743
  0.00	20	20	S1	33894	                      Mycobacterium tuberculosis variant africanum
  0.00	1	1	S1	1346775	                      Mycobacterium tuberculosis PanR0401
  0.00	1	1	S1	1334079	                      Mycobacterium tuberculosis 1821ADB38
  0.00	1	1	S1	1334052	                      Mycobacterium tuberculosis TRS6
  0.00	1	1	S1	1352573	                      Mycobacterium tuberculosis PanR0601
  0.46	9724	0	S	29311	                  Mycobacterium haemophilum
  0.46	9724	9724	S1	1202450	                    Mycobacterium haemophilum DSM 44634
  0.34	7246	7246	S	212767	                  Mycobacterium sp. JS623
  0.28	6010	6010	S	482462	                  Mycobacterium dioxanotrophicus
  0.23	4840	4840	S	1879023	                  Mycobacterium sp. djl-10
  0.22	4625	4625	S	1545728	                  Mycobacterium sp. EPa45
  0.20	4162	4162	S	1682113	                  Mycobacterium sp. YC-RL4
  0.16	3424	3424	S	1936029	                  Mycobacterium sp. MS1601
  0.14	3023	2423	S	1781	                  Mycobacterium marinum
  0.03	564	564	S1	216594	                    Mycobacterium marinum M
  0.00	36	36	S1	1131442	                    Mycobacterium marinum E11
  0.10	2161	2161	S	1769	                  Mycobacterium leprae
  0.05	1071	1071	S	164757	                  Mycobacterium sp. JLS
  0.04	931	931	S	1920667	                  Mycobacterium sp. WY10
  0.03	576	77	S	1809	                  Mycobacterium ulcerans
  0.01	288	288	S1	362242	                    Mycobacterium ulcerans Agy99
  0.01	211	211	S1	1124626	                    Mycobacterium ulcerans subsp. shinshuense
  0.03	562	562	S	2051552	                  Mycobacterium sp. PYR15
  0.02	488	488	S	1273687	                  Mycobacterium sp. VKM Ac-1817D
  0.01	301	301	S	1168287	                  Mycobacterium sp. MOTT36Y
  0.01	182	182	S	1561223	                  Mycobacterium sp. QIA-37
  0.00	13	0	S	261524	                  Mycobacterium liflandii
  0.00	13	13	S1	459424	                    Mycobacterium liflandii 128FXT
  0.00	9	0	S	265949	                  Mycobacterium pseudoshottsii
  0.00	9	9	S1	1136880	                    Mycobacterium pseudoshottsii JCM 15466
  3.35	70927	10494	G	1866885	                Mycolicibacterium
  0.32	6776	6776	S	370526	                  Mycolicibacterium rutilum
  0.31	6504	6504	S	1771	                  Mycolicibacterium phlei
  0.28	5947	5947	S	1797	                  Mycolicibacterium thermoresistibile
  0.27	5734	4553	S	1772	                  Mycolicibacterium smegmatis
  0.06	1181	1181	S1	1214915	                    Mycolicibacterium smegmatis MKD8
  0.25	5257	5257	S	758802	                  Mycolicibacterium litorale
  0.23	4808	0	S	1800	                  Mycolicibacterium chubuense
  0.23	4808	4808	S1	710421	                    Mycolicibacterium chubuense NBB4
  0.22	4747	0	S	110539	                  Mycolicibacterium vanbaalenii
  0.22	4747	4747	S1	350058	                    Mycolicibacterium vanbaalenii PYR-1
  0.22	4690	3106	S	1804	                  Mycolicibacterium gilvum
  0.05	1023	1023	S1	350054	                    Mycolicibacterium gilvum PYR-GCK
  0.03	561	561	S1	278137	                    Mycolicibacterium gilvum Spyr1
  0.20	4310	4310	S	134601	                  Mycolicibacterium goodii
  0.20	4270	4270	S	1791	                  Mycolicibacterium aurum
  0.16	3448	0	S	36814	                  Mycolicibacterium rhodesiae
  0.16	3448	3448	S1	710685	                    Mycolicibacterium rhodesiae NBB3
  0.16	3408	0	S	1810	                  Mycolicibacterium vaccae
  0.16	3408	3408	S1	1354275	                    Mycolicibacterium vaccae 95051
  0.03	534	534	S	1766	                  Mycolicibacterium fortuitum
  0.85	18024	1668	G	1073531	                Mycolicibacter
  0.41	8602	8602	S	1788	                  Mycolicibacter terrae
  0.37	7754	7754	S	875328	                  Mycolicibacter sinensis
  0.41	8663	889	G	670516	                Mycobacteroides
  0.19	3937	3812	S	36809	                  Mycobacteroides abscessus
  0.01	125	22	S1	319705	                    Mycobacteroides abscessus subsp. bolletii
  0.00	71	71	S2	1091046	                      Mycobacteroides abscessus subsp. bolletii BD
  0.00	32	32	S2	1303024	                      Mycobacteroides abscessus subsp. bolletii 50594
  0.07	1524	1524	S	1578165	                  Mycobacteroides saopaulense
  0.05	1124	1124	S	83262	                  Mycobacteroides immunogenum
  0.04	844	844	S	1520670	                  [Mycobacterium] stephanolepidis
  0.02	345	345	S	1774	                  Mycobacteroides chelonae
  0.01	280	0	G	697025	                Hoyosella
  0.01	280	0	S	639313	                  Hoyosella subflava
  0.01	280	280	S1	443218	                    Hoyosella subflava DQS3-9A1
  1.00	21109	828	F	85025	              Nocardiaceae
  0.56	11904	3931	G	1827	                Rhodococcus
  0.06	1309	804	S	37919	                  Rhodococcus opacus
  0.02	384	384	S1	632772	                    Rhodococcus opacus B4
  0.01	121	121	S1	543736	                    Rhodococcus opacus PD630
  0.04	937	0	S	132919	                  Rhodococcus jostii
  0.04	937	937	S1	101510	                    Rhodococcus jostii RHA1
  0.04	899	899	S	1805827	                  Rhodococcus sp. MTM3W5.2
  0.04	812	678	S	43767	                  Rhodococcus hoagii
  0.01	134	134	S1	685727	                    Rhodococcus hoagii 103S
  0.04	754	754	S	1830	                  Rhodococcus ruber
  0.03	631	631	S	1990687	                  Rhodococcus sp. S2-17
  0.03	570	570	S	38310	                  Rhodococcus coprophilus
  0.02	457	457	S	1653478	                  Rhodococcus sp. PBTS 1
  0.02	324	324	S	679318	                  Rhodococcus sp. WMMA185
  0.01	296	296	S	1564114	                  Rhodococcus sp. B7740
  0.01	290	290	S	1829	                  Rhodococcus rhodochrous
  0.01	163	163	S	191292	                  Rhodococcus aetherivorans
  0.01	161	161	S	1653479	                  Rhodococcus sp. PBTS 2
  0.01	137	137	S	1500843	                  Rhodococcus biphenylivorans
  0.00	63	0	S	1828	                  Rhodococcus fascians
  0.00	63	63	S1	1051973	                    Rhodococcus fascians D188
  0.00	51	33	S	1833	                  Rhodococcus erythropolis
  0.00	18	18	S1	234621	                    Rhodococcus erythropolis PR4
  0.00	42	42	S	1045808	                  Rhodococcus sp. YL-1
  0.00	39	0	S	103816	                  Rhodococcus pyridinivorans
  0.00	39	39	S1	1435356	                    Rhodococcus pyridinivorans SB3094
  0.00	24	24	S	334542	                  Rhodococcus qingshengii
  0.00	12	12	S	1570939	                  Rhodococcus sp. 2G
  0.00	1	1	S	935199	                  Rhodococcus sp. p52
  0.00	1	1	S	1033922	                  Rhodococcus sp. WB1
  0.40	8377	633	G	1817	                Nocardia
  0.08	1642	1052	S	135487	                  Nocardia cyriacigeorgica
  0.03	590	590	S1	1127134	                    Nocardia cyriacigeorgica GUH-2
  0.07	1540	1294	S	37329	                  Nocardia farcinica
  0.01	246	246	S1	247156	                    Nocardia farcinica IFM 10152
  0.05	1053	460	S	37326	                  Nocardia brasiliensis
  0.03	593	593	S1	1133849	                    Nocardia brasiliensis ATCC 700358
  0.05	1009	1009	S	134962	                  Nocardia soli
  0.05	966	966	S	455432	                  Nocardia terpenica
  0.04	890	0	S	37330	                  Nocardia nova
  0.04	890	890	S1	1415166	                    Nocardia nova SH22a
  0.03	644	644	S	37332	                  Nocardia seriolae
  0.21	4541	0	F	1653	              Corynebacteriaceae
  0.21	4541	713	G	1716	                Corynebacterium
  0.02	363	0	S	191493	                  Corynebacterium sphenisci
  0.02	363	363	S1	1437874	                    Corynebacterium sphenisci DSM 44792
  0.01	225	0	S	225326	                  Corynebacterium halotolerans
  0.01	225	225	S1	1121362	                    Corynebacterium halotolerans YIM 70093 = DSM 44683
  0.01	206	63	S	38289	                  Corynebacterium jeikeium
  0.01	143	143	S1	306537	                    Corynebacterium jeikeium K411
  0.01	187	187	S	2079535	                  Corynebacterium sp. 2184
  0.01	177	0	S	152794	                  Corynebacterium efficiens
  0.01	177	177	S1	196164	                    Corynebacterium efficiens YS-314
  0.01	166	166	S	1705	                  Corynebacterium stationis
  0.01	157	157	S	2080740	                  Corynebacterium sp. 2183
  0.01	150	0	S	1223514	                  Corynebacterium humireducens
  0.01	150	150	S1	1223515	                    Corynebacterium humireducens NBRC 106098 = DSM 45392
  0.01	134	134	S	136857	                  Corynebacterium testudinoris
  0.01	127	127	S	161896	                  Corynebacterium camporealensis
  0.01	120	120	S	156978	                  Corynebacterium imitans
  0.01	114	0	S	38305	                  Corynebacterium vitaeruminis
  0.01	114	114	S1	1224164	                    Corynebacterium vitaeruminis DSM 20294
  0.00	101	0	S	203263	                  Corynebacterium aquilae
  0.00	101	101	S1	1431546	                    Corynebacterium aquilae DSM 44791
  0.00	100	100	S	1652495	                  Corynebacterium crudilactis
  0.00	91	91	S	1072256	                  Corynebacterium uterequi
  0.00	88	0	S	1727	                  Corynebacterium variabile
  0.00	88	88	S1	858619	                    Corynebacterium variabile DSM 44702
  0.00	77	77	S	161899	                  Corynebacterium singulare
  0.00	71	0	S	1121358	                  Corynebacterium doosanense
  0.00	71	71	S1	558173	                    Corynebacterium doosanense CAU 212 = DSM 45436
  0.00	71	71	S	571915	                  Corynebacterium mustelae
  0.00	65	65	S	702967	                  Corynebacterium sp. NML98-0116
  0.00	63	63	S	38302	                  Corynebacterium mycetoides
  0.00	61	0	S	89154	                  Corynebacterium terpenotabidum
  0.00	61	61	S1	1200352	                    Corynebacterium terpenotabidum Y-11
  0.00	59	59	S	191610	                  Corynebacterium atypicum
  0.00	57	0	S	1231000	                  Corynebacterium lactis
  0.00	57	57	S1	1408189	                    Corynebacterium lactis RW2-5
  0.00	57	57	S	146827	                  Corynebacterium simulans
  0.00	54	0	S	108486	                  Corynebacterium falsenii
  0.00	54	54	S1	1451189	                    Corynebacterium falsenii DSM 44353
  0.00	50	0	S	161879	                  Corynebacterium kroppenstedtii
  0.00	50	50	S1	645127	                    Corynebacterium kroppenstedtii DSM 44385
  0.00	44	44	S	401472	                  Corynebacterium ureicelerivorans
  0.00	43	43	S	1050174	                  Corynebacterium epidermidicanis
  0.00	43	0	S	42817	                  Corynebacterium argentoratense
  0.00	43	43	S1	1348662	                    Corynebacterium argentoratense DSM 44202
  0.00	41	41	S	1487956	                  Corynebacterium sp. ATCC 6931
  0.00	40	0	S	575200	                  Corynebacterium maris
  0.00	40	40	S1	1224163	                    Corynebacterium maris DSM 45190
  0.00	40	40	S	1737425	                  Corynebacterium provencense
  0.00	39	0	S	1230998	                  Corynebacterium frankenforstense
  0.00	39	39	S1	1437875	                    Corynebacterium frankenforstense DSM 45800
  0.00	36	36	S	161895	                  Corynebacterium phocae
  0.00	36	0	S	38288	                  Corynebacterium genitalium
  0.00	36	36	S1	585529	                    Corynebacterium genitalium ATCC 33030
  0.00	32	32	S	187491	                  Corynebacterium glaucum
  0.00	32	32	S	1718	                  Corynebacterium glutamicum
  0.00	30	30	S	43771	                  Corynebacterium urealyticum
  0.00	28	28	S	1697	                  Corynebacterium ammoniagenes
  0.00	25	0	S	169292	                  Corynebacterium aurimucosum
  0.00	25	25	S1	548476	                    Corynebacterium aurimucosum ATCC 700975
  0.00	24	24	S	28028	                  Corynebacterium flavescens
  0.00	24	24	S	35757	                  Corynebacterium cystitidis
